d[,då
bl[gr[,blågrå
bl[gul,blågul
bl[haj,blåhaj
bl[hat,blåhat
bl[ler,blåler
bl[lig,blålig
bl[lys,blålys
bl[ner,blåner
bl[net,blånet
bl[ret,blåret
bl[ræv,blåræv
bl[rød,blårød
bl[sur,blåsur
bl[søm,blåsøm
bl[top,blåtop
bl[træ,blåtræ
bl[øje,blåøje
bokm[l,bokmål
bortg[,bortgå
borts[,bortså
bramr[,bramrå
breds[,bredså
buhr[b,buhråb
b[ddæk,båddæk
b[dede,bådede
b[dene,bådene
b[lene,bålene
b[nder,bånder
b[ndet,båndet
b[sede,båsede
b[sene,båsene
b[tter,båtter
b[ttet,båttet
delm[l,delmål
dr[ben,dråben
dr[ber,dråber
duebl[,dueblå
dugv[d,dugvåd
dybbl[,dybblå
dækh[r,dækhår
døds[r,dødsår
dørl[s,dørlås
d[bene,dåbene
d[dløs,dådløs
d[drig,dådrig
d[erne,dåerne
d[hind,dåhind
d[kalv,dåkalv
d[nede,dånede
d[rede,dårede
d[rlig,dårlig
d[seøl,dåseøl
en[rig,enårig
et[rig,etårig
fagr[d,fagråd
fem[rs,femårs
fir[rs,firårs
fjor[r,fjorår
fl[den,flåden
fl[der,flåder
fl[det,flådet
fl[ede,flåede
fl[ten,flåten
fl[ter,flåter
fods[l,fodsål
foreg[,foregå
forel[,forelå
forg[r,forgår
forh[r,forhår
form[l,formål
form[r,formår
forr[d,forråd
forr[r,forrår
forsl[,forslå
forsm[,forsmå
forst[,forstå
frag[r,fragår
fremg[,fremgå
frøl[r,frølår
fr[den,fråden
fr[der,fråder
fr[det,frådet
fr[dse,frådse
fr[ser,fråser
fr[set,fråset
føde[r,fødeår
f[borg,fåborg
f[mælt,fåmælt
f[rede,fårede
f[rene,fårene
ger[de,geråde
glas[l,glasål
gr[and,gråand
gr[bl[,gråblå
gr[bl[,gråblå
gr[den,gråden
gr[dig,grådig
gr[dyb,grådyb
gr[gul,grågul
gr[gæs,grågæs
gr[g[s,grågås
gr[g[s,grågås
gr[lig,grålig
gr[lys,grålys
gr[ner,gråner
gr[net,grånet
gr[pil,gråpil
gr[ris,gråris
gr[rød,grårød
gr[sej,gråsej
gr[sæl,gråsæl
guden[,gudenå
g[ende,gående
g[felt,gåfelt
g[gade,gågade
g[mand,gåmand
g[mænd,gåmænd
g[rden,gården
g[sede,gåsede
g[sens,gåsens
g[stol,gåstol
g[ture,gåture
halvr[,halvrå
halv[r,halvår
havbl[,havblå
hel[rs,helårs
heng[r,hengår
henst[,henstå
husb[d,husbåd
husm[r,husmår
husr[d,husråd
hvorp[,hvorpå
høst[r,høstår
h[bede,håbede
h[bene,håbene
h[bløs,håbløs
h[nden,hånden
h[nede,hånede
h[nler,hånler
h[nlig,hånlig
h[nske,hånske
h[rede,hårede
h[rene,hårene
h[rfin,hårfin
h[ring,håring
h[rkar,hårkar
h[rkur,hårkur
h[rlag,hårlag
h[rlak,hårlak
h[rlok,hårlok
h[rløs,hårløs
h[rnet,hårnet
h[rn[l,hårnål
h[rn[l,hårnål
h[rrod,hårrod
h[rrør,hårrør
h[rsæk,hårsæk
h[rtab,hårtab
h[rtop,hårtop
h[rtot,hårtot
h[vard,håvard
ildd[b,ilddåb
indg[r,indgår
indl[n,indlån
indsl[,indslå
isbl[t,isblåt
isb[de,isbåde
konge[,kongeå
kopm[l,kopmål
kr[sen,kråsen
kr[ser,kråser
kul[re,kulåre
købsl[,købslå
kødn[l,kødnål
køds[r,kødsår
kølb[d,kølbåd
k[dhed,kådhed
k[gene,kågene
k[lene,kålene
k[lorm,kålorm
k[lroe,kålroe
k[rden,kården
k[rder,kårder
k[rede,kårede
k[ring,kåring
lamsl[,lamslå
lavm[l,lavmål
leve[r,leveår
ligb[l,ligbål
liges[,ligeså
livb[d,livbåd
lynl[s,lynlås
lysbl[,lysblå
lære[r,læreår
l[dden,lådden
l[gene,lågene
l[gfad,lågfad
l[nene,lånene
l[nere,lånere
l[rben,lårben
l[rene,lårene
l[ring,låring
l[rtyk,lårtyk
l[sene,låsene
mand[r,mandår
medg[r,medgår
midtp[,midtpå
misd[d,misdåd
mixl[n,mixlån
modg[r,modgår
modst[,modstå
mølle[,mølleå
m[bede,måbede
m[geæg,mågeæg
m[lbar,målbar
m[lene,målene
m[lere,målere
m[ling,måling
m[lløs,målløs
m[lsat,målsat
m[ltid,måltid
m[ne[r,måneår
m[ne[r,måneår
m[rh[r,mårhår
m[rh[r,mårhår
m[rten,mårten
m[sene,måsene
m[tten,måtten
m[tter,måtter
m[ttet,måttet
nedsl[,nedslå
ni[rig,niårig
nordp[,nordpå
notb[d,notbåd
nym[ne,nymåne
nødd[b,nøddåb
nødr[b,nødråb
n[dden,nådden
n[dder,nådder
n[dige,nådige
n[digt,nådigt
n[dler,nådler
n[dlet,nådlet
n[lene,nålene
omg[et,omgået
omr[de,område
opm[le,opmåle
opm[lt,opmålt
opn[et,opnået
opr[be,opråbe
opr[bt,opråbt
